radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,400,2,1333,11286,0,45.614442,40.991839,1000,13,1,1359123123,1359123123,0
GSM,400,2,7531,11286,0,45.614442,40.991839,1000,13,1,1359123123,1359123123,0
GSM,400,4,10101,24051,0,49.978867,40.434517,1000,119,1,1365418854,1365497045,0
GSM,400,4,10101,24054,0,49.978866577148,40.434494018555,1000,40,1,1365419932,1365491017,0
GSM,400,4,10302,20933,0,49.978838,40.434523,1000,96,1,1365496132,1365496132,0
GSM,400,4,10302,21251,0,49.978866577148,40.434494018555,1000,4,1,1365493477,1365493477,0
GSM,400,4,10101,20933,0,49.978866577148,40.434494018555,1000,2,1,1365494545,1365494545,0
UMTS,400,1,3600,235933308,0,49.837967,40.401535,1000,5,1,1369280447,1481162872,0
GSM,400,1,2000,312,0,49.84016418457,40.371322631836,1000,2,1,1369385176,1369385176,0
UMTS,400,4,20401,294837,0,49.815444946289,40.422134399414,1000,3,1,1370460563,1370460563,0
GSM,400,2,1251,57022,0,49.586105,40.228183,1000,13,1,1375960089,1375960089,0
UMTS,400,2,1510,131150730,0,47.045516967773,40.769577026367,1000,11,1,1378393014,1378393014,0
GSM,400,2,7711,17431,0,47.045516967773,40.769577026367,1000,1,1,1378392028,1378392028,0
UMTS,400,2,1510,131150733,0,47.045516967773,40.769577026367,1000,28,1,1378411900,1378438098,0
GSM,400,2,7711,13191,0,47.045516967773,40.769577026367,1000,2,1,1378437982,1378437982,0
UMTS,400,2,7711,131154864,0,47.045516967773,40.769577026367,1000,1,1,1378434901,1378434901,0
UMTS,400,2,1510,131154864,0,47.045516967773,40.769577026367,1000,13,1,1378437779,1378437779,0
UMTS,400,2,1510,131154973,0,47.045516967773,40.769577026367,1000,1,1,1378435301,1378435301,0
UMTS,400,2,1510,131150734,0,47.045516967773,40.769577026367,1000,2,1,1378437587,1378437587,0
GSM,400,2,7711,13194,0,47.045516967773,40.769577026367,1000,2,1,1378437999,1378437999,0
GSM,400,2,572,60491,0,46.360747,40.681086,1000,112,1,1238981991,1238981991,0
GSM,400,2,572,61061,0,46.359339,40.678638,1000,446,1,1238981992,1238981992,0
GSM,400,2,1312,65051,0,45.987682,40.893386,3774,228,1,1238981994,1238981994,0
GSM,400,2,1312,64011,0,45.924381,40.91021,2558,168,1,1238981900,1238981900,0
GSM,400,2,1312,64013,0,45.835757,40.924885,4547,266,1,1238981944,1238981944,0
GSM,400,2,1312,65121,0,45.79236,40.937412,4743,433,1,1238981944,1238981944,0
GSM,400,2,1312,65123,0,45.72391,40.959752,2095,156,1,1238981912,1238981912,0
GSM,400,2,1312,62052,0,45.687435,40.971174,2667,94,1,1238981918,1238981918,0
GSM,400,2,1312,61561,0,45.682376,40.972406,1000,46,1,1238981916,1238981916,0
GSM,400,2,1312,61512,0,45.668553,40.977966,1000,43,1,1238981917,1238981917,0
GSM,400,2,1312,61562,0,45.662441,40.978489,1000,8,1,1238981917,1238981917,0
GSM,400,2,1312,61563,0,45.652958,40.982055,1423,97,1,1238981920,1238981920,0
GSM,400,2,1312,60481,0,45.644142,40.984394,1857,40,1,1238981921,1238981921,0
GSM,400,2,1312,63002,0,45.62722,40.991738,1000,44,1,1238981921,1238981921,0
GSM,400,2,1312,63001,0,45.641696,41.047897,6058,39,1,1238981931,1238981931,0
GSM,400,2,572,63012,0,46.362991333008,40.669326782227,1000,13,1,1238981922,1238981922,0
GSM,400,2,572,61062,0,46.359299,40.67739,1000,334,1,1238982058,1238982058,0
GSM,400,2,1312,62051,0,45.642313,41.048283,1000,399,1,1238981931,1238981931,0
GSM,400,2,1316,31023,0,47.111723,40.375586,1000,105,1,1238981939,1238981939,0
GSM,400,2,1316,31022,0,47.116052,40.373335,1583,174,1,1238982038,1238982038,0
GSM,400,2,1316,32023,0,47.125817,40.364413,1726,585,1,1238982087,1238982087,0
GSM,400,2,1316,32081,0,47.11791,40.372402,1396,14,1,1238982037,1238982037,0
GSM,400,2,1316,31561,0,47.112808,40.375099,1000,4,1,1238981939,1238981939,0
GSM,400,2,1316,32021,0,47.127012,40.36428,3126,1339,1,1238982087,1238982087,0
GSM,400,2,1316,32073,0,47.148428,40.356662,2015,173,1,1238982087,1238982087,0
GSM,400,2,1316,31603,0,47.209625,40.251503,1442,8,1,1238981947,1238981947,0
GSM,400,2,572,62032,0,46.358871,40.681062,1000,22,1,1238981991,1238981991,0
GSM,400,2,1360,60042,0,49.842910766602,40.386428833008,1000,3,1,1238981956,1238981956,0
GSM,400,2,572,61112,0,46.35612487793,40.654220581055,1000,34,1,1238981957,1238981957,0
GSM,400,2,572,61113,0,46.35612487793,40.654220581055,1000,37,1,1238981957,1238981957,0
GSM,400,2,572,61201,0,46.372604370117,40.696792602539,1000,1,1,1238981960,1238981960,0